page_id,page_len,page_touched
39662089,4030,20160714160125
41152866,3708,20160623144143
9758886,1702,20160618093809
41682630,5974,20160702224131
38409512,5080,20160606003310
1716289,2357,20160623144143
11142347,2661,20160712235751
44366024,1627,20160709010638
11938348,5548,20160712213917
35597854,10477,20160614071819
40110412,1271,20160623144143
41225075,3694,20160623144143
13397152,1671,20160712061232
2704921,1118,20160712235751
5618965,3019,20160712235751
30833997,9144,20160622150320
18359875,2878,20160601031533
2216877,3740,20160618110738
50792019,2070,20160704083237
13086770,7795,20160716033153
5895735,3671,20160703064912
32803452,1470,20160606003310
50477678,2423,20160704185224
2241479,10079,20160708123216
9786280,1504,20160704163201
8631625,5557,20160630233028
44132599,864,20160606003310
8888728,4995,20160704163201
35214925,3126,20160706011421
46882425,1631,20160713004431
36314176,3203,20160712055935
15793916,5518,20160717104037
1728755,6332,20160623144143
50615632,1703,20160623144733
24138478,1103,20160704191912
93927,25160,20160717100626
616119,8700,20160717082104
40165070,3676,20160610162232
19984875,20336,20160715230537
697164,4179,20160712213917
18555196,3988,20160717071116
50450753,2942,20160714085812
31543457,6790,20160717034819
923258,4234,20160625061853
18326259,1656,20160714205212
3307783,1912,20160609191107
18924260,1374,20160715203012
21331594,13123,20160717112947
168414,7655,20160717051719
3329165,4009,20160610162232
14418123,2422,20160623144143
41408032,1330,20160711213208
39746302,13102,20160708234139
251245,18001,20160716171542
900084,3762,20160606003310
48711483,9655,20160713054916
23776189,14354,20160709170226
21607123,3348,20160624102153
50597968,3373,20160705185634
77060,10756,20160717081950
23805932,12492,20160717123453
7155131,6133,20160705100358
18181603,942,20160612140740
274062,4661,20160713160356
45550992,1990,20160629205806
177375,5189,20160712235751
12485339,3125,20160712124341
34648000,1078,20160712140710
14348829,7803,20160715084445
29046229,3428,20160712101242
40071985,8330,20160712101242
31893936,5276,20160626155916
43842705,1830,20160629003426
45206798,1817,20160707032011
39662605,4318,20160629231142
25157422,1535,20160715131807
43151715,5221,20160710181651
2833143,5388,20160630125743
15793586,1329,20160712213917
50575806,1588,20160627115540
2578371,2953,20160717034434
9882676,1873,20160712235751
2268111,2434,20160712235751
23962991,12629,20160711213651
44911751,1685,20160704163201
13501007,3239,20160606003310
29564959,727,20160606003310
1332881,5356,20160712235751
8495446,1681,20160708222903
25046197,723,20160709003608
961423,9138,20160713235048
27516329,1335,20160606003310
1076134,4379,20160704191912
36383285,24058,20160717034504
41193946,3222,20160704191912
3173750,3987,20160630020659
8407473,5275,20160704191912
12177552,877,20160712235751
2715277,8731,20160703064912
44965031,3619,20160606003310
38938204,1780,20160706234001
7235286,6158,20160705100358
253838,15516,20160717174952
4641533,2989,20160606003310
10533266,1510,20160704191912
48745539,25933,20160717162939
41929907,3418,20160609071933
38925585,1348,20160606003310
41604435,2948,20160625061853
48844370,26221,20160705051657
20974482,946,20160715084730
33030998,4173,20160717092942
45240579,10047,20160712101242
7911158,4556,20160620002927
42945937,2300,20160712140710
30195596,910,20160612140740
21665768,1975,20160612142842
27035237,1102,20160708230845
30735284,1727,20160714214526
9829351,11646,20160629205806
5677775,3226,20160717151622
22233980,4341,20160710221137
26801758,7718,20160710181651
8249614,4778,20160717105527
3240988,4403,20160712055935
30949276,3956,20160709054308
45055951,4377,20160623144143
3270784,13930,20160705094550
6937052,7910,20160717094019
42154112,2522,20160704163201
18889341,4018,20160704191912
42030119,3428,20160712101242
21523002,1382,20160717163825
5317702,7488,20160703064912
41842140,6061,20160717110803
5762576,3048,20160712235751
40319375,2356,20160606003310
20170129,2889,20160623144143
50592788,1226,20160628181443
2792531,3412,20160713160356
24874275,676,20160623144143
37419501,8133,20160711094703
5165484,1101,20160706233238
2934265,2139,20160717041138
25672577,19041,20160705172727
23661723,688,20160704191912
48867550,1691,20160606003310
2403571,31741,20160716113638
8601911,4434,20160623144143
8237048,2881,20160623144143
48741158,3333,20160703053614
6994929,5255,20160614071819
22399596,2156,20160704191912
46312113,1213,20160711135438
19230554,3665,20160629205806
21377174,5043,20160710213017
15736019,1573,20160712213917
50871105,3769,20160715074315
477948,19634,20160717124737
33416589,21584,20160711080043
4373977,14402,20160629003426
35322291,29995,20160619201647
27349208,3478,20160606003310
8544439,780,20160606003310
22974937,2660,20160704163201
50977141,1974,20160717135627
22760312,5777,20160701162224
3185558,1144,20160625164903
30166830,868,20160612140740
9789165,5379,20160711223748
21744877,453,20160704191912
16502792,1913,20160704163019
5972506,11320,20160713005745
44374767,1776,20160709010638
44679869,5042,20160709215739
33222346,8867,20160606003310
2819966,1470,20160713030710
45343275,7843,20160711092111
19671470,873,20160713160356
32135755,9074,20160703064912
5010322,4363,20160713160356
7091688,1998,20160704191912
44265547,1247,20160629205806
19899066,33860,20160717115438
3763684,12885,20160715220644
36423872,2904,20160614071819
1455485,2591,20160715113516
1392824,791,20160612140740
23396804,1257,20160704191912
36750254,818,20160705100358
9021073,5990,20160712235751
37941803,1996,20160606003310
131271,7141,20160717025223
5613431,6718,20160712235751
390902,106758,20160717091542
6184926,6453,20160606154746
42658626,7015,20160712040731
30372098,6582,20160623144143
18065948,2927,20160717044535
7879295,14257,20160713212317
38120328,1915,20160704163201
3850575,4628,20160606003310
11790982,12624,20160716123926
27616542,7549,20160706190750
50378401,4411,20160709211854
46923835,4490,20160612140740
8082978,1125,20160612140740
7933182,1766,20160713160356
2076194,5813,20160712235751
38850712,27299,20160625215552
5030456,479,20160702210938
50533331,1526,20160606003310
