page_len,page_touched,page_random
7654,20160716211314,0.300079092717
1947,20160629205806,0.300079486552
5491,20160628144243,0.300079549238
5810,20160710181651,0.300079800403
7384,20160711180616,0.300079836646
5106,20160718035324,0.300080480342
6034,20160712213917,0.300080805437
13511,20160701130206,0.300080857937
2056,20160705145640,0.300081008579
17672,20160706112349,0.300081095661
6529,20160716094821,0.300081962405
73499,20160711092111,0.300082139593
1817,20160718043211,0.300082471098
4070,20160713085557,0.300082992864
2649,20160717050414,0.300083233649
1526,20160713003737,0.300083732093
2693,20160712213917,0.300084140959
1618,20160717035243,0.300084240606
1214,20160715060345,0.300084460146
3606,20160629003426,0.300084482043
5329,20160714183934,0.300084568174
2336,20160712040731,0.300084621042
4522,20160716073520,0.300084650191
8051,20160715032530,0.300084661352
1288,20160707231439,0.300085251184
6866,20160718073509,0.300085391309
2740,20160712235751,0.300085412156
3117,20160716010300,0.300085728681
2655,20160704163201,0.300086014334
1360,20160717220922,0.300086758591
529,20160718104855,0.300086981234
2235,20160711213208,0.300086990183
11333,20160629094015,0.300087046273
8118,20160716075249,0.300087108968
2949,20160711213739,0.300087154319
2546,20160712235751,0.300087257851
4130,20160703064912,0.300087512822
2279,20160704205101,0.300087986966
846,20160701144422,0.300088091974
1437,20160704191912,0.300088097268
8726,20160714030205,0.300088140362
2405,20160701144422,0.300088237316
9531,20160718022638,0.300089231167
1885,20160707132354,0.300089691113764
1696,20160713140803,0.300090255938
46687,20160717071440,0.300090724881823
1737,20160708075641,0.300092119242
7313,20160710181651,0.300092635386
2543,20160709172507,0.300092985939
1849,20160708130625,0.300093168488
3566,20160717183015,0.300093218243
2467,20160630174212,0.300093604153
5393,20160714005056,0.300094238608
10660,20160701151739,0.30009458740246003
7062,20160715232051,0.300095734086
1095,20160708230815,0.300096175699
11622,20160717112229,0.300096271943
2952,20160716053253,0.300096532036
29971,20160705100358,0.300096802247
4882,20160717113845,0.300096874812
4760,20160717142745,0.300097136518
39237,20160716042307,0.30009774412
16149,20160701151739,0.300098251324
792,20160713164114,0.300099089884
12485,20160717183332,0.300099361485
5675,20160628031937,0.300099776878
5221,20160717053740,0.30010057379
13525,20160704191912,0.300100848684
9434,20160704191912,0.300100925354
6938,20160712235751,0.300101183211
1744,20160715111106,0.300101238333
4589,20160708132516,0.300101788537
1525,20160714203225,0.300101967741
4727,20160715052855,0.300102290047
14468,20160713160356,0.300102512111
1129,20160714210813,0.30010258233
3135,20160718064808,0.300102731666
689,20160704163201,0.300102744363
4319,20160704191912,0.300103011527
1310,20160712235751,0.300103014518
5517,20160712213917,0.300103113785
954,20160714193457,0.30010321055
5799,20160718031521,0.300103325062
9395,20160718111313,0.300103764329202
