page_id,page_len,page_touched
2715277,8731,20160703064912
38938204,1780,20160706234001
7235286,6158,20160705100358
253838,15516,20160717174952
10533266,1510,20160704191912
48745539,25933,20160717162939
41604435,2948,20160625061853
48844370,26221,20160705051657
20974482,946,20160715084730
33030998,4173,20160717092942
45240579,10047,20160712101242
42945937,2300,20160712140710
27035237,1102,20160708230845
30735284,1727,20160714214526
9829351,11646,20160629205806
5677775,3226,20160717151622
22233980,4341,20160710221137
26801758,7718,20160710181651
8249614,4778,20160717105527
3240988,4403,20160712055935
30949276,3956,20160709054308
3270784,13930,20160705094550
6937052,7910,20160717094019
42154112,2522,20160704163201
18889341,4018,20160704191912
42030119,3428,20160712101242
21523002,1382,20160717163825
5317702,7488,20160703064912
41842140,6061,20160717110803
5762576,3048,20160712235751
50592788,1226,20160628181443
2792531,3412,20160713160356
37419501,8133,20160711094703
5165484,1101,20160706233238
2934265,2139,20160717041138
25672577,19041,20160705172727
23661723,688,20160704191912
2403571,31741,20160716113638
48741158,3333,20160703053614
22399596,2156,20160704191912
46312113,1213,20160711135438
19230554,3665,20160629205806
21377174,5043,20160710213017
15736019,1573,20160712213917
50871105,3769,20160715074315
477948,19634,20160717124737
33416589,21584,20160711080043
4373977,14402,20160629003426
22974937,2660,20160704163201
50977141,1974,20160717135627
22760312,5777,20160701162224
3185558,1144,20160625164903
9789165,5379,20160711223748
21744877,453,20160704191912
16502792,1913,20160704163019
5972506,11320,20160713005745
44374767,1776,20160709010638
44679869,5042,20160709215739
2819966,1470,20160713030710
45343275,7843,20160711092111
19671470,873,20160713160356
32135755,9074,20160703064912
5010322,4363,20160713160356
7091688,1998,20160704191912
44265547,1247,20160629205806
19899066,33860,20160717115438
3763684,12885,20160715220644
1455485,2591,20160715113516
23396804,1257,20160704191912
36750254,818,20160705100358
9021073,5990,20160712235751
131271,7141,20160717025223
5613431,6718,20160712235751
390902,106758,20160717091542
42658626,7015,20160712040731
18065948,2927,20160717044535
7879295,14257,20160713212317
38120328,1915,20160704163201
11790982,12624,20160716123926
27616542,7549,20160706190750
50378401,4411,20160709211854
7933182,1766,20160713160356
2076194,5813,20160712235751
38850712,27299,20160625215552
5030456,479,20160702210938
26922503,6618,20160715050144
2925890,1403,20160704163201
19368157,2762,20160717111726
15526034,2960,20160709200500
15715195,3021,20160703064912
314522,28247,20160716161644
51084619,38715,20160717040824
7540258,42377,20160702083224
49861393,2880,20160703142608
31077893,1728,20160704163201
29403127,691,20160713164114
12361746,1957,20160711023856
12630909,4779,20160704191912
40082726,2112,20160712130428
45518353,1864,20160708235610
2425878,6789,20160704191912
8031076,5391,20160712235751
22774324,4087,20160708225447
30743474,1227,20160712040731
2948330,24798,20160717135406
32886141,1796,20160711210621
19490828,813,20160708224524
11594115,1775,20160704191912
26812522,7083,20160717124759
37734367,464,20160629140422
18422881,2035,20160717054540
22317987,2210,20160704191912
44970190,17118,20160628003338
36449432,6789,20160711093010
44783283,2127,20160711125905
12974326,7733,20160715171815
1214262,3775,20160717121239
13352463,9793,20160712101242
8185946,30291,20160704191912
19037676,1743,20160716092024
23627100,3242,20160713160356
48062104,1941,20160708235943
1597976,14084,20160716220313
14552198,10971,20160711212825
35409114,1921,20160626062925
42534554,852,20160629180102
42082314,2317,20160704163201
4085882,5814,20160717084118
3498511,7297,20160715154142
16021490,1156,20160712213917
31667740,22516,20160711213208
11433090,1745,20160707032011
12059055,36197,20160716112551
31759081,56373,20160714144638
50166353,5204,20160629165718
26026445,1819,20160714231511
36416357,2615,20160714064726
26782331,7050,20160716040023
4662554,6844,20160703064912
10969915,929,20160625061853
2487584,5086,20160712235751
43127112,2828,20160715173118
25739203,2112,20160707234256
43010168,5763,20160717133039
5551945,16757,20160625171819
16679769,3201,20160716105429
51043216,2133,20160710222835
36058298,1647,20160704141814
4540750,2692,20160712235751
4488380,5022,20160712235751
44859244,1401,20160703145128
111508,9676,20160717161512
2261569,5725,20160715235959
39758073,7848,20160713154245
32661747,3433,20160704163201
4772754,2570,20160713003737
35269059,13661,20160717150310
81244,20995,20160717085549
2775925,2639,20160712213917
724069,6543,20160716092007
22718446,38622,20160709131837
31511981,10738,20160701013554
17969138,2142,20160703064912
406972,15602,20160711100501
10266711,3972,20160714030649
4430600,7807,20160704191912
24878891,2910,20160626155916
37893669,2866,20160709141123
34156080,3852,20160702074109
50749700,923,20160716211430
48502251,7564,20160715105419
6772238,4631,20160704163201
28760006,5328,20160715123442
2849647,6140,20160714201254
5388179,4767,20160629040909
4253063,1762,20160703064912
8784079,10395,20160625153258
34312903,5072,20160710181651
28221672,3136,20160625061853
47503351,1061,20160704191912
25060815,1505,20160629205806
25111110,15867,20160716121925
17769677,6017,20160712213917
2168758,8269,20160714060524
15579107,1471,20160712213917
45592053,12077,20160709192833
30207046,4326,20160704163201
19014772,1781,20160716055427
870235,24906,20160716031428
41102513,10609,20160713004645
43720,26235,20160717002026
35910161,11019,20160711213208
42229383,1832,20160708094455
34177149,1235,20160704163201
13291261,3807,20160708205110
118795,9438,20160717114224
3221964,36369,20160717042530
36245086,24042,20160712101242
13233374,1115,20160712213917
2638372,9848,20160716010435
23552530,3727,20160717135705
43364762,2747,20160713191513
11729979,28755,20160704191912
27237422,1412,20160703145128
14820847,2814,20160712213917
17602561,6400,20160717030040
50770629,3717,20160706212844
23203389,4392,20160704163201
17368078,5044,20160712213917
36132029,20255,20160717133333
11180894,1599,20160630210816
38563629,3339,20160714173707
42041384,46686,20160717131710
4126331,4257,20160626155916
50773700,9297,20160707142549
20901355,2971,20160704191912
37185139,2290,20160625061853
43621358,1491,20160629205806
85080,47852,20160717091044
24389874,1702,20160629205806
39474305,1396,20160717094914
48801742,1498,20160703001503
33254720,1064,20160704002200
1406269,7295,20160713054916
17283483,15425,20160710160437
21321696,37188,20160715224628
1680,12317,20160716234947
7153127,4220,20160713191513
3393680,36684,20160716041548
5876036,10078,20160712235751
45709484,20767,20160711072647
12226976,3519,20160717151129
5881204,1555,20160717171046
41664184,3715,20160704163201
14117182,4607,20160626155916
1554521,6509,20160708205334
4824236,4581,20160712235751
15577192,2284,20160627012550
11460675,2018,20160704191912
29800500,1828,20160704191912
18079317,23950,20160627001526
881384,16760,20160716072324
49630410,5179,20160704191912
33051730,3270,20160715002507
43756074,7525,20160708000615
5216039,5854,20160625061853
5651972,1289,20160704191912
19900471,1399,20160717030046
21522485,1874,20160717161805
37291257,1078,20160704191912
4344726,18529,20160717094805
29078550,4475,20160704163201
29565410,5286,20160712055935
44251780,2818,20160709010637
12118609,124805,20160716071453
6516801,534,20160625164903
47213068,954,20160703155849
2461439,3324,20160712235751
19035734,1650,20160716090139
16568911,4238,20160704191912
16262064,5305,20160712213917
47302059,4530,20160712101242
27175938,9486,20160704191912
5086411,1784,20160712235751
32500920,1870,20160704163201
6994017,2304,20160712040731
22230527,1639,20160703145128
45415641,17592,20160711114325
15880404,1125,20160712213917
32706134,4238,20160717114316
49939363,4103,20160714194804
43976569,2613,20160711113438
6041581,9444,20160710101411
44648877,540,20160701132557
20049825,1366,20160625061853
10880078,12169,20160625061853
17553,45964,20160716085510
12894428,1156,20160712235751
19463014,5435,20160713160356
25239576,483,20160704191912
50501436,5217,20160716200231
47732236,1319,20160625164903
2882406,6568,20160712213917
39096061,2492,20160712002911
402133,7212,20160704205101
28112991,2862,20160627144620
1329961,6816,20160712235751
811677,803,20160704191912
3733912,4560,20160707225614
49005070,4745,20160711191751
32501423,3822,20160704191912
42723529,2282,20160712140710
425992,14907,20160717093029
12906765,1138,20160712235751
1942210,19389,20160716085937
3506836,7520,20160716232635
3408948,1668,20160712213917
47175174,2276,20160716023257
44553935,2585,20160717094754
47281281,3057,20160717101303
43509424,12881,20160711092111
6000502,3779,20160717085628
13274906,2982,20160630172230
45402739,2983,20160703145128
42941300,11662,20160708000347
18365668,976,20160705142950
21282037,60216,20160704191912
17908106,3209,20160712213917
2624001,10659,20160712040731
27287789,2593,20160629003426
15109119,8938,20160712213917
8860723,1316,20160703064912
2647587,17916,20160712213917
635640,3641,20160704163201
15811996,46157,20160716202058
2491853,5174,20160717122618
10910577,52502,20160709171802
1236400,37096,20160710211259
11547825,2167,20160717075853
39035331,5286,20160711101714
1611240,20590,20160716125700
22377316,8936,20160715000946
36909665,6288,20160629003426
7593801,3830,20160716223324
6311130,1732,20160704191912
27733464,2424,20160703145128
3027338,2167,20160703064912
40311293,2046,20160708162203
45622177,6854,20160717095841
21967654,4387,20160711093920
42751975,3090,20160704191912
4664976,13323,20160713153500
7898726,2481,20160712235751
4612008,5536,20160716073521
33301637,11222,20160713201703
36061834,4260,20160711174822
8141659,4867,20160710111012
13292968,22479,20160701130616
20078694,9331,20160625183548
27759948,4626,20160710163001
23890079,2799,20160704163201
23585477,792,20160704191912
2893097,7608,20160710083600
7375737,6206,20160714052053
733275,43237,20160706042017
43284209,2758,20160704163201
15888396,1333,20160712213917
28171281,9507,20160716212500
